Timestamp (ms),Timestamp,Speaker,Transcript,Showing （1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
1483352,00:24:43.352,m,I bonked you,0,,0,,0,,,,,,2,i,you,,,,,,0,2,mother,child,,,,,,0,0,,,,,0,2,,
1483964,00:24:43.964,m,I'm sorry,0,,0,,0,,,,,,1,i,,,,,,,0,1,mother,,,,,,,0,0,,,,,0,1,,
1548054,00:25:48.54,m,are you all done reading?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,1,2,,
1550706,00:25:50.706,m,bubble?,0,,0,,1,bubble,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1553694,00:25:53.694,m,we don't have any bubbly water Buck,0,,0,,2,bubblywater,buck,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,1,0,,,,,3,1,,
1555500,00:25:55.500,m,you have a little bit of juice in there with your water,0,,1,childswaterbottle,3,bit,juice,water,,,2,you,your,,,,,,1,1,child,childswater,,,,,,1,1,,,,,3,2,,
1558343,00:25:58.343,m,it should make you feel better in your tummy,0,,0,,1,tummy,,,,,3,it,you,your,,,,,1,2,juice,child,childstummy,,,,,1,1,,,,,1,3,,
1563898,00:26:03.898,m,that's all you need,0,,0,,0,,,,,,2,that,you,,,,,,0,2,childswater,child,,,,,,0,0,,,,,0,3,,
1564374,00:26:04.374,m,that's fine,0,,0,,0,,,,,,1,that,,,,,,,0,1,childswater,,,,,,,0,0,,,,,0,1,,
1570800,00:26:10.800,m,uhoh,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1575390,00:26:15.390,m,don't get stuck,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1577532,00:26:17.532,m,[gasp] a coaster?,0,,0,,1,coaster,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1580830,00:26:20.830,m,what's that?,0,,0,,0,,,,,,1,that,,,,,,,0,1,coaster,,,,,,,0,0,,,,,0,2,,
1582938,00:26:22.938,m,that's for putting your juice on,0,,0,,1,juice,,,,,2,that,your,,,,,,1,1,coaster,childsjuice,,,,,,1,1,,,,,1,2,,
1585760,00:26:25.760,m,excellent,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1595620,00:26:35.620,m,more book?,0,,0,,1,book,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1599938,00:26:39.938,m,more book,0,,0,,1,book,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1604528,00:26:44.528,m,you wanna read a different book?,0,,0,,1,book,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
1607928,00:26:47.928,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1608676,00:26:48.676,m,pick a book,0,,0,,1,book,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1615476,00:26:55.476,m,Ferdinand,0,,0,,1,ferdinand,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1616666,00:26:56.666,m,you always get bored when i read that,0,,0,,0,,,,,,3,you,i,that,,,,,0,3,child,mother,ferdinandbook,,,,,0,0,,,,,0,3,,
1622480,00:27:02.480,m,and Ella goes to Israel,0,,0,,2,ella,israel,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
