Timestamp (ms),Timestamp,Speaker,Transcript,Showing（1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
208488,00:03:28.488,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
209848,00:03:29.848,m,it is okay,0,,0,,0,,,,,,1,it,,,,,,,0,1,pajamas,,,,,,,0,0,,,,,0,1,,
212262,00:03:32.262,m,alright let stand up and do it,0,,0,,0,,,,,,1,it,,,,,,,0,1,pajamas,,,,,,,0,0,,,,,0,1,,
216954,00:03:36.954,m,good job,0,,0,,1,job,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
219504,00:03:39.504,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
223584,00:03:43.584,m,what?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
226814,00:03:46.814,m,what are you talking?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,2,,
228310,00:03:48.310,m,oh,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
229160,00:03:49.160,m,xxx here,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
232968,00:03:52.968,m,[laughing],0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
234158,00:03:54.158,m,hi,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
235484,00:03:55.484,m,do you wnat to brush your teeth?,0,,0,,1,teeth,,,,,2,you,your,,,,,,1,1,child,childsteeth,,,,,,1,1,,,,,1,2,,
238136,00:03:58.136,m,why not?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
240380,00:04:00.380,m,why don't we go brush your teeth?,0,,0,,1,teeth,,,,,2,we,your,,,,,,1,1,motherandchild,childsteeth,,,,,,1,1,,,,,1,2,,
243440,00:04:03.440,m,can i have a kiss?,0,,0,,1,kiss,,,,,1,i,,,,,,,0,1,mother,,,,,,,1,0,,,,,1,1,,
247180,00:04:07.180,m,you keep staring?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
251192,00:04:11.192,m,will you brush your teeth for mommy?,0,,0,,2,teeth,mommy,,,,2,you,your,,,,,,1,1,child,childsteeth,,,,,,1,1,,,,,2,2,,
253470,00:04:13.470,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
256632,00:04:16.632,m,you want to do it?,0,,0,,0,,,,,,2,you,it,,,,,,0,2,child,brushteeth,,,,,,0,0,,,,,0,2,,
258536,00:04:18.536,m,where do we put your toothbrush on this last weekend?,0,,0,,2,toothbrush,weekend,,,,3,we,your,this,,,,,1,2,motherandchild,toothbrush,weekend,,,,,1,1,,,,,2,2,,
262446,00:04:22.446,m,inside?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
264622,00:04:24.622,m,well,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
266050,00:04:26.50,m,oh I think it is in the kitchen,0,,0,,1,kitchen,,,,,2,i,it,,,,,,0,2,mother,toothbrush,,,,,,1,0,,,,,1,2,,
268770,00:04:28.770,m,let's brush your teeth in the kitchen,0,,0,,2,teeth,kitchen,,,,1,your,,,,,,,1,0,childsteeth,,,,,,,1,1,,,,,2,2,,
271184,00:04:31.184,m,there it is,0,,0,,0,,,,,,1,it,,,,,,,0,1,toothbrush,,,,,,,0,0,,,,,0,1,,
273700,00:04:33.700,m,what's this?,1,toothbrush,0,,0,,,,,,1,this,,,,,,,0,1,toothbrush,,,,,,,0,0,,,,,0,2,,
280534,00:04:40.534,m,are we spitting?,0,,0,,0,,,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,0,0,,,,,0,1,,
283084,00:04:43.84,m,here,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
284138,00:04:44.138,m,let's put your toothpaste,0,,0,,1,toothpaste,,,,,1,your,,,,,,,1,0,toothpaste,,,,,,,1,1,,,,,1,2,,
286994,00:04:46.994,m,come,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
291618,00:04:51.618,m,wow,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
292876,00:04:52.876,m,show me how you brush,0,,0,,0,,,,,,2,me,you,,,,,,0,2,mother,child,,,,,,0,0,,,,,0,2,,
