Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
2940218,00:49:00.218,m,thank you,0,,,,,,0,,,,,,,,0,1,,
2943312,00:49:03.312,m,here,0,,,,,,0,,,,,,,,0,0,,
2943890,00:49:03.890,m,play with here,0,,,,,,0,,,,,,,,0,0,,
2945794,00:49:05.794,m,you don't have a coloring book in your room,2,book,room,,,,2,you,your,,,,,,2,2,,
2960482,00:49:20.482,m,what?,0,,,,,,0,,,,,,,,0,1,,
2962182,00:49:22.182,m,reindeer,1,reindeer,,,,,0,,,,,,,,1,0,,
2964324,00:49:24.324,m,reindeer,1,reindeer,,,,,0,,,,,,,,1,0,,
2966194,00:49:26.194,m,that's silver,0,,,,,,1,that,,,,,,,1,1,,
2974422,00:49:34.422,m,yes,0,,,,,,0,,,,,,,,0,0,,
2975748,00:49:35.748,m,thank you,0,,,,,,0,,,,,,,,0,1,,
2978230,00:49:38.230,m,silver,0,,,,,,0,,,,,,,,1,0,,
2982004,00:49:42.4,m,uh,0,,,,,,0,,,,,,,,0,0,,
2989246,00:49:49.246,m,do a circle,1,circle,,,,,0,,,,,,,,1,0,,
2991592,00:49:51.592,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
2994448,00:49:54.448,m,you can do it,0,,,,,,2,you,it,,,,,,0,2,,
2998052,00:49:58.52,m,wow,0,,,,,,0,,,,,,,,0,0,,
2998664,00:49:58.664,m,good job,0,,,,,,0,,,,,,,,1,0,,
3002336,00:50:02.336,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
3015256,00:50:15.256,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
3017908,00:50:17.908,m,ready?,0,,,,,,0,,,,,,,,0,0,,
3019302,00:50:19.302,m,go ahead,0,,,,,,0,,,,,,,,0,0,,
3020798,00:50:20.798,m,ci-circle,1,circle,,,,,0,,,,,,,,1,0,,
3024996,00:50:24.996,m,good job,0,,,,,,0,,,,,,,,1,0,,
3026986,00:50:26.986,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
3035044,00:50:35.44,m,twenties,1,twenties,,,,,0,,,,,,,,1,0,,
3040702,00:50:40.702,m,I don't know what that is honestly,0,,,,,,2,i,that,,,,,,0,3,,
3045040,00:50:45.40,m,color it,0,,,,,,1,it,,,,,,,0,1,,
3046332,00:50:46.332,m,do yellow,1,yellow,,,,,0,,,,,,,,0,0,,
3048032,00:50:48.32,m,ring yellow,2,ring,yellow,,,,0,,,,,,,,0,0,,
3067344,00:51:07.344,m,papa?,1,papa,,,,,0,,,,,,,,0,0,,
3069214,00:51:09.214,m,that's a papa?,1,papa,,,,,1,that,,,,,,,1,1,,
3071458,00:51:11.458,m,that's not papa,1,papa,,,,,1,that,,,,,,,0,1,,
3076558,00:51:16.558,m,what?,0,,,,,,0,,,,,,,,0,1,,
3078496,00:51:18.496,m,I don't know what you are saying,0,,,,,,2,i,you,,,,,,0,3,,
3080638,00:51:20.638,m,take a bite,1,bite,,,,,0,,,,,,,,1,0,,
3082746,00:51:22.746,m,bite,1,bite,,,,,0,,,,,,,,1,0,,
3085670,00:51:25.670,m,he normally goes to the play group this morning but this all has to be inside right?,4,group,morning,all,inside,,3,he,this,this,,,,,3,3,,
3089716,00:51:29.716,m,he has to,0,,,,,,1,he,,,,,,,0,1,,
3091246,00:51:31.246,m,just want to make sure,0,,,,,,0,,,,,,,,0,0,,
3094374,00:51:34.374,m,yeah,0,,,,,,0,,,,,,,,0,0,,
3094986,00:51:34.986,m,i know,0,,,,,,1,i,,,,,,,0,1,,
3095156,00:51:35.156,m,totally unterstand,0,,,,,,0,,,,,,,,0,0,,
3104982,00:51:44.982,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
3122424,00:52:02.424,m,oh no,0,,,,,,0,,,,,,,,0,0,,
3123648,00:52:03.648,m,you did it,0,,,,,,2,you,it,,,,,,0,2,,
3126538,00:52:06.538,m,put it with your other paper,1,paper,,,,,2,it,your,,,,,,1,2,,
3129258,00:52:09.258,m,pick a new page,1,page,,,,,0,,,,,,,,1,0,,
3130924,00:52:10.924,m,there you go,0,,,,,,1,you,,,,,,,0,1,,
3132930,00:52:12.930,m,Santa,1,santa,,,,,0,,,,,,,,0,0,,
3138880,00:52:18.880,m,Ta Da,0,,,,,,0,,,,,,,,0,0,,
3142552,00:52:22.552,m,all better,0,,,,,,0,,,,,,,,0,0,,
3147754,00:52:27.754,m,thank you,0,,,,,,0,,,,,,,,0,1,,
3150678,00:52:30.678,m,oh,0,,,,,,0,,,,,,,,0,0,,
3151271,00:52:31.271,m,Ta Da,0,,,,,,0,,,,,,,,0,0,,
3154316,00:52:34.316,m,take a bite,1,bite,,,,,0,,,,,,,,1,0,,
3158158,00:52:38.158,m,thank you,0,,,,,,0,,,,,,,,0,1,,
3161675,00:52:41.675,m,Kelly Rxx,1,kelly,,,,,0,,,,,,,,0,0,,
3170126,00:52:50.126,m,wow,0,,,,,,0,,,,,,,,0,0,,
3338290,00:55:38.290,m,take a bite,1,bite,,,,,0,,,,,,,,1,0,,
3397280,00:56:37.280,m,take a bite,1,bite,,,,,0,,,,,,,,1,0,,
3403060,00:56:43.60,m,can I have you bite this?,1,bite,,,,,3,i,you,this,,,,,0,3,,
3406099,00:56:46.99,m,thank you,0,,,,,,0,,,,,,,,0,1,,
3523386,00:58:43.386,m,Mac,1,mac,,,,,0,,,,,,,,1,0,,
3539332,00:58:59.332,m,look,0,,,,,,0,,,,,,,,0,0,,
3544942,00:59:04.942,m,pull it off,0,,,,,,1,it,,,,,,,0,1,,
3575202,00:59:35.202,m,take a bite,1,bite,,,,,0,,,,,,,,1,0,,
3577072,00:59:37.72,m,bite,1,bite,,,,,0,,,,,,,,1,0,,
3581084,00:59:41.84,m,thank you,0,,,,,,0,,,,,,,,0,1,,
3610800,01:00:10.800,m,take another bite,1,bite,,,,,0,,,,,,,,1,0,,
