Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4
795022,00:13:15.22,m,okay,0,,,,,0,,,,
795906,00:13:15.906,m,here you go,0,,,,,1,you,,,
801652,00:13:21.652,m,[laughing],0,,,,,0,,,,
803420,00:13:23.420,m,it's good?,0,,,,,1,it,,,
814096,00:13:34.96,m,the cheese,1,cheese,,,,0,,,,
815728,00:13:35.728,m,cheese,1,cheese,,,,0,,,,
817768,00:13:37.768,m,cheese,1,cheese,,,,0,,,,
819638,00:13:39.638,m,cheese,1,cheese,,,,0,,,,
821202,00:13:41.202,m,[adult babble],0,,,,,0,,,,
822732,00:13:42.732,m,[eating sound],0,,,,,0,,,,
828274,00:13:48.274,m,here,0,,,,,0,,,,
829804,00:13:49.804,m,wow that's too big,0,,,,,1,that,,,
831980,00:13:51.980,m,that's too big,0,,,,,1,that,,,
834054,00:13:54.54,m,[gasping],0,,,,,0,,,,
834972,00:13:54.972,m,[laughing],0,,,,,0,,,,
838712,00:13:58.712,m,you don't want that one?,1,one,,,,2,you,that,,
839630,00:13:59.630,m,why?,0,,,,,0,,,,
844934,00:14:04.934,m,there you go,0,,,,,1,you,,,
855882,00:14:15.882,m,here,0,,,,,0,,,,
872338,00:14:32.338,m,it's delicious,0,,,,,1,it,,,
886720,00:14:46.720,m,[gasping],0,,,,,0,,,,
888318,00:14:48.318,m,it's pretty delicious,0,,,,,1,it,,,
889610,00:14:49.610,m,hmm?,0,,,,,0,,,,
891310,00:14:51.310,m,[laughing],0,,,,,0,,,,
897294,00:14:57.294,m,hmm careful,0,,,,,0,,,,
906202,00:15:06.202,m,no?,0,,,,,0,,,,
906576,00:15:06.576,m,I am going to eat it if you don't eat it,0,,,,,4,i,it,you,it
908514,00:15:08.514,m,I am going to eat it,0,,,,,2,i,it,,
911166,00:15:11.166,m,hmm,0,,,,,0,,,,
922114,00:15:22.114,m,what's that?,0,,,,,1,that,,,
922590,00:15:22.590,m,is that a cow?,1,cow,,,,1,that,,,
924460,00:15:24.460,m,what does a cow say?,1,cow,,,,0,,,,
927146,00:15:27.146,m,moo,0,,,,,0,,,,
931226,00:15:31.226,m,moo,0,,,,,0,,,,
933334,00:15:33.334,m,what's this?,0,,,,,1,this,,,
935000,00:15:35.0,m,what's that?,0,,,,,1,that,,,
937822,00:15:37.822,m,you don't remember?,0,,,,,1,you,,,
939318,00:15:39.318,m,it's sheep,1,sheep,,,,1,it,,,
940678,00:15:40.678,m,it's a sheep,1,sheep,,,,1,it,,,
941732,00:15:41.732,m,you remember,0,,,,,1,you,,,
943058,00:15:43.58,m,what does the sheep say?,1,sheep,,,,0,,,,
945574,00:15:45.574,m,no it doesn't say moo,0,,,,,1,it,,,
948940,00:15:48.940,m,[laughing],0,,,,,0,,,,
951286,00:15:51.286,m,the cow says moo,1,cow,,,,0,,,,
952170,00:15:52.170,m,you want this?,0,,,,,2,you,this,,
954482,00:15:54.482,m,want this one?,1,one,,,,1,this,,,
956556,00:15:56.556,m,alright I am going to eat it,0,,,,,2,i,it,,
959242,00:15:59.242,m,[laughing],0,,,,,0,,,,
962166,00:16:02.166,m,what does a cow say?,1,cow,,,,0,,,,
964750,00:16:04.750,m,moo,0,,,,,0,,,,
968184,00:16:08.184,m,moo,0,,,,,0,,,,
971856,00:16:11.856,m,[laughing],0,,,,,0,,,,
975052,00:16:15.52,m,[adult babble],0,,,,,0,,,,
978214,00:16:18.214,m,yeah close,0,,,,,0,,,,
984742,00:16:24.742,m,moo,0,,,,,0,,,,
987394,00:16:27.394,m,moo,0,,,,,0,,,,
990488,00:16:30.488,m,moo,0,,,,,0,,,,
992460,00:16:32.460,m,catch,0,,,,,0,,,,
993582,00:16:33.582,m,no?,0,,,,,0,,,,
993786,00:16:33.786,m,okay you are done?,0,,,,,1,you,,,
995316,00:16:35.316,m,okay,0,,,,,0,,,,
996200,00:16:36.200,m,you don't have to eat it,0,,,,,2,you,it,,
998716,00:16:38.716,m,okay,0,,,,,0,,,,
1000552,00:16:40.552,m,there you go,0,,,,,1,you,,,
1002728,00:16:42.728,m,I am going to throw this away okay?,0,,,,,2,i,this,,
1100206,00:18:20.206,m,xxx,0,,,,,0,,,,
1104320,00:18:24.320,m,hmm?,0,,,,,0,,,,
1106700,00:18:26.700,m,hmm?,0,,,,,0,,,,
1116050,00:18:36.50,m,okay what do you want to play?,0,,,,,1,you,,,
1119042,00:18:39.42,m,hmm?,0,,,,,0,,,,
1132812,00:18:52.812,m,do you want more banana?,1,banana,,,,1,you,,,
1135668,00:18:55.668,m,hmm?,0,,,,,0,,,,
1136382,00:18:56.382,m,come here,0,,,,,0,,,,
1137300,00:18:57.300,m,[grunting],0,,,,,0,,,,
1139646,00:18:59.646,m,moo,0,,,,,0,,,,
1141754,00:19:01.754,m,[laughing],0,,,,,0,,,,
1144236,00:19:04.236,m,what's that,0,,,,,1,that,,,
1145528,00:19:05.528,m,smell like banana,1,banana,,,,0,,,,
1147092,00:19:07.92,m,you smell like banana,1,banana,,,,1,you,,,
1149914,00:19:09.914,m,[laughing],0,,,,,0,,,,
1151682,00:19:11.682,m,okay what else do you want to play?,0,,,,,1,you,,,
1152906,00:19:12.906,m,come on,0,,,,,0,,,,
1154742,00:19:14.742,m,careful,0,,,,,0,,,,
1160454,00:19:20.454,m,wait,0,,,,,0,,,,
1160828,00:19:20.828,m,one at a time,1,one,,,,0,,,,
1161837,00:19:21.837,m,one at a time,1,one,,,,0,,,,
1162664,00:19:22.664,m,don't,0,,,,,0,,,,
1163446,00:19:23.446,m,don't stuff your mouth like that okay?,1,mouth,,,,2,your,that,,
1167696,00:19:27.696,m,I don't want you to choke,0,,,,,2,i,you,,
1169804,00:19:29.804,m,okay?,0,,,,,0,,,,
1173068,00:19:33.68,m,okay,0,,,,,0,,,,
1173782,00:19:33.782,m,yeah,0,,,,,0,,,,
1174836,00:19:34.836,m,don't,0,,,,,0,,,,
1175652,00:19:35.652,m,don't stuff your face like that,1,face,,,,2,your,that,,
1176706,00:19:36.706,m,okay?,0,,,,,0,,,,
1179324,00:19:39.324,m,[adult babble],0,,,,,0,,,,
1180752,00:19:40.752,m,okay,0,,,,,0,,,,
1181228,00:19:41.228,m,come on,0,,,,,0,,,,
1181602,00:19:41.602,m,let's play more,0,,,,,0,,,,
1193808,00:19:53.808,m,let's play,0,,,,,0,,,,
1195746,00:19:55.746,m,you want to listen to some music?,1,music,,,,1,you,,,
1198534,00:19:58.534,m,yeah?,0,,,,,0,,,,
1199452,00:19:59.452,m,let's listen to some music,1,music,,,,0,,,,
1200812,00:20:00.812,m,you want to do your happy playlist?,1,playlist,,,,2,you,your,,
1202206,00:20:02.206,m,yeah?,0,,,,,0,,,,
1204212,00:20:04.212,m,happy playlist?,1,playlist,,,,0,,,,
1205504,00:20:05.504,m,okay,0,,,,,0,,,,
1205844,00:20:05.844,m,let's play the happy playlist,1,playlist,,,,0,,,,
1209584,00:20:09.584,m,okay ready,0,,,,,0,,,,
1211114,00:20:11.114,m,don't you be touching my computer man,2,computer,man,,,2,you,my,,
1214446,00:20:14.446,m,I can't believe you,0,,,,,2,i,you,,
1216044,00:20:16.44,m,trying to touch my computer,1,computer,,,,1,my,,,
1218526,00:20:18.526,m,alright ready?,0,,,,,0,,,,
1219886,00:20:19.886,m,okay,0,,,,,0,,,,
1223320,00:20:23.320,m,let's see,0,,,,,0,,,,
1236614,00:20:36.614,m,oh [laughing],0,,,,,0,,,,
1238110,00:20:38.110,m,that's mine,0,,,,,1,that,,,
1238654,00:20:38.654,m,you can't be,0,,,,,1,you,,,
1240796,00:20:40.796,m,xxx please,0,,,,,0,,,,
1256538,00:20:56.538,m,you want to grab this?,0,,,,,2,you,this,,
1276666,00:21:16.666,m,[gasping],0,,,,,0,,,,
1277516,00:21:17.516,m,thanks,0,,,,,0,,,,
1278672,00:21:18.672,m,that's mine,0,,,,,1,that,,,
1293156,00:21:33.156,m,oh [laughing],0,,,,,0,,,,
1293802,00:21:33.802,m,thank you,0,,,,,1,you,,,
1295332,00:21:35.332,m,thank you so much,0,,,,,1,you,,,
1306042,00:21:46.42,m,[grunting],0,,,,,0,,,,
1307198,00:21:47.198,m,xxx,0,,,,,0,,,,
1319404,00:21:59.404,m,how xxx do this?,0,,,,,1,this,,,
1320016,00:22:00.16,m,xxx,0,,,,,0,,,,
1328686,00:22:08.686,m,there you go,0,,,,,1,you,,,
1393388,00:23:13.388,m,[gasping],0,,,,,0,,,,
1394680,00:23:14.680,m,oh,0,,,,,0,,,,
1423716,00:23:43.716,m,Logan come up,1,logan,,,,0,,,,
1569916,00:26:09.916,m,[laughing],0,,,,,0,,,,
1571956,00:26:11.956,m,oh what are you doing?,0,,,,,1,you,,,
1572908,00:26:12.908,m,what are you playing with?,0,,,,,1,you,,,
1583856,00:26:23.856,m,so many toys in there,1,toys,,,,0,,,,
1585012,00:26:25.12,m,wow,0,,,,,0,,,,
1588650,00:26:28.650,m,I know,0,,,,,1,i,,,
1591676,00:26:31.676,m,do you want to grab one of your toys?,1,toys,,,,2,you,your,,
1594464,00:26:34.464,m,now are you,0,,,,,1,you,,,
1595348,00:26:35.348,m,that's okay?,0,,,,,1,that,,,
1597082,00:26:37.82,m,you want to play with any new ones?,1,ones,,,,1,you,,,
1600244,00:26:40.244,m,come on,0,,,,,0,,,,
1600992,00:26:40.992,m,it's getting hot in here,0,,,,,1,it,,,
1602182,00:26:42.182,m,let's go,0,,,,,0,,,,
1641350,00:27:21.350,m,I know I am sorry,0,,,,,2,i,i,,
1644342,00:27:24.342,m,I promis I won't do email again,1,email,,,,1,i,,,
1647062,00:27:27.62,m,xxx,0,,,,,0,,,,
1652332,00:27:32.332,m,oops,0,,,,,0,,,,
1655834,00:27:35.834,m,alright I know,0,,,,,1,i,,,
1656922,00:27:36.922,m,I xxx play,0,,,,,1,i,,,
1662872,00:27:42.872,m,[laughing],0,,,,,0,,,,
1664130,00:27:44.130,m,wait a minue wait,1,minute,,,,0,,,,
