Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Nouns_Spacy,Pronoun_Spacy,,
397222,,c,b,,,,,,,,,,,,,,
397426,00:06:37.426,m,xxx,0,,,,,0,,,,,0,0,,
398616,00:06:38.616,m,what?,0,,,,,0,,,,,0,0,,
399194,00:06:39.194,m,you want to washy now?,0,,,,,1,you,,,,0,0,,
401939,00:06:41.939,m,alright let's washy,0,,,,,0,,,,,1,0,,
403478,,c,no,,,,,,,,,,,,,,
404668,00:06:44.668,m,no?,0,,,,,0,,,,,0,0,,
406341,,c,b,,,,,,,,,,,,,,
408947,00:06:48.947,m,I don't understand you,0,,,,,2,i,you,,,1,0,,
410006,00:06:50.6,m,what?,0,,,,,0,,,,,1,2,,
410584,,c,b,,,,,,,,,,,,,,
413606,,c,b,,,,,,,,,,,,,,
418162,00:06:58.162,m,yeah washy,0,,,,,0,,,,,0,0,,
418988,00:06:58.988,m,we can washy,0,,,,,1,we,,,,1,0,,
420750,00:07:00.750,m,alrighty hold on lovey,1,lovey,,,,0,,,,,0,0,,
422620,,c,c,,,,,,,,,,,,,,
424149,00:07:04.149,m,let's washy in the bathroom now,1,bathroom,,,,0,,,,,0,0,,
427142,00:07:07.142,m,let's washy in the bathroom,1,bathroom,,,,0,,,,,1,1,,
440844,,c,b,,,,,,,,,,,,,,
441245,00:07:21.245,m,here we go,0,,,,,1,we,,,,0,0,,
442578,00:07:22.578,m,washy,0,,,,,0,,,,,1,0,,
442578,,c,b,,,,,,,,,,,,,,
443751,00:07:23.751,m,hold on,0,,,,,0,,,,,0,1,,
445044,00:07:25.44,m,hold on,0,,,,,0,,,,,0,2,,
446604,00:07:26.604,m,there we go,0,,,,,1,we,,,,0,1,,
448305,00:07:28.305,m,washy washy washy,0,,,,,0,,,,,0,3,,
450821,00:07:30.821,m,good girl,0,,,,,0,,,,,0,0,,
452700,00:07:32.700,m,good girl,0,,,,,0,,,,,1,0,,
453662,00:07:33.662,m,hold on we need the other one,1,one,,,,1,we,,,,0,1,,
455175,00:07:35.175,m,where's your other hand?,1,hand,,,,1,your,,,,1,2,,
456699,00:07:36.699,m,where's your other hand missy?,2,hand,missy,,,1,your,,,,1,0,,
458626,00:07:38.626,m,washy,0,,,,,0,,,,,1,1,,
462094,,c,c,,,,,,,,,,,,,,
462434,00:07:42.434,m,hmm?,0,,,,,0,,,,,0,0,,
464712,00:07:44.712,m,hmm?,0,,,,,0,,,,,0,0,,
466820,00:07:46.820,m,[laugh],0,,,,,0,,,,,0,0,,
468146,00:07:48.146,m,good girl,0,,,,,0,,,,,0,0,,
469394,00:07:49.394,m,good girl,0,,,,,0,,,,,0,0,,
471274,00:07:51.274,m,okay,0,,,,,0,,,,,1,0,,
473280,00:07:53.280,m,alrighty,0,,,,,0,,,,,1,0,,
474966,,c,b,,,,,,,,,,,,,,
478932,,c,b,,,,,,,,,,,,,,
482800,,c,b,,,,,,,,,,,,,,
483888,00:08:03.888,m,oh no no no no,0,,,,,0,,,,,1,2,,
485010,00:08:05.10,m,we just washy,0,,,,,1,we,,,,0,0,,
485758,00:08:05.758,m,so let's put the ink away for a little while,1,ink,,,,0,,,,,0,1,,
