Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
1399678,00:23:19.678,m,high five,0,,,,,0,,,,,,,
1401242,00:23:21.242,m,yeah,0,,,,,0,,,,,,,
1402500,00:23:22.500,m,thank you,0,,,,,0,,,,,,,
1419976,00:23:39.976,m,come on,0,,,,,0,,,,,,,
1420078,00:23:40.78,m,let's do the last bite first ready?,1,bite,,,,0,,,,,,,
1422084,00:23:42.84,m,for last bite?,1,bite,,,,0,,,,,,,
1426232,00:23:46.232,m,we're in the home stretch of the book,2,homestretch,book,,,1,we,,,,,,
1427422,00:23:47.422,m,so this is good timing,1,timing,,,,1,this,,,,,,
1430754,00:23:50.754,m,last bite,0,,,,,1,bite,,,,,,
1434766,00:23:54.766,m,all done,0,,,,,0,,,,,,,
1436330,00:23:56.330,m,all done,0,,,,,0,,,,,,,
1437656,00:23:57.656,m,all done with your breakfast,1,breakfast,,,,1,your,,,,,,
1440546,00:24:00.546,m,mmhm,0,,,,,0,,,,,,,
1443946,00:24:03.946,m,all done with your food,1,food,,,,1,your,,,,,,
1446734,00:24:06.734,m,alright,0,,,,,0,,,,,,,
1539554,00:25:39.554,m,the,0,,,,,0,,,,,,,
1542784,00:25:42.784,m,yeah,0,,,,,0,,,,,,,
1542988,00:25:42.988,m,I know,0,,,,,1,i,,,,,,
1543396,00:25:43.396,m,books end,2,book,end,,,0,,,,,,,
1544042,00:25:44.42,m,it's very sad,0,,,,,1,it,,,,,,
1545034,00:25:45.34,m,aw,0,,,,,0,,,,,,,
1545436,00:25:45.436,m,it's so sad the book ended,1,book,,,,1,it,,,,,,
1548258,00:25:48.258,m,can you drink some water while I get something to wipe off your face?,3,water,something,face,,3,you,i,your,,,,
1550876,00:25:50.876,m,no?,0,,,,,0,,,,,,,
1551012,00:25:51.12,m,you can't drink water?,1,water,,,,1,you,,,,,,
1554718,00:25:54.718,m,no?,0,,,,,0,,,,,,,
1555330,00:25:55.330,m,alright,0,,,,,0,,,,,,,
1583992,00:26:23.992,m,that was a good yawn,1,yawn,,,,1,that,,,,,,
1591914,00:26:31.914,m,what's up?,0,,,,,0,,,,,,,
1593104,00:26:33.104,m,I know your nose is running,1,nose,,,,2,i,your,,,,,
1596776,00:26:36.776,m,no?,0,,,,,0,,,,,,,
1597694,00:26:37.694,m,do you want to push out at all?,0,,,,,1,you,,,,,,
1599020,00:26:39.20,m,no?,0,,,,,0,,,,,,,
1599462,00:26:39.462,m,okay,0,,,,,0,,,,,,,
1599904,00:26:39.904,m,I'll just wipe it gently,0,,,,,2,i,it,,,,,
1601604,00:26:41.604,m,gentle,0,,,,,0,,,,,,,
1607554,00:26:47.554,m,can you hold this please?,0,,,,,2,you,this,,,,,
1609152,00:26:49.152,m,thank you,0,,,,,0,,,,,,,
1617006,00:26:57.6,m,what's up nudgie baby?,1,nudgiebaby,,,,0,,,,,,,
1619488,00:26:59.488,m,what's up?,0,,,,,0,,,,,,,
1621222,00:27:01.222,m,what?,0,,,,,0,,,,,,,
1625574,00:27:05.574,m,[kiss],0,,,,,0,,,,,,,
1628192,00:27:08.192,m,what's up?,0,,,,,0,,,,,,,
1638970,00:27:18.970,m,oh,0,,,,,0,,,,,,,
1640024,00:27:20.24,m,this box of tissues is empty,1,boxoftissues,,,,1,this,,,,,,
1641384,00:27:21.384,m,what are you doing?,0,,,,,1,you,,,,,,
1650938,00:27:30.938,m,oh,0,,,,,0,,,,,,,
1668772,00:27:48.772,m,we have to mail that thing,1,thing,,,,1,we,that,,,,,
1671338,00:27:51.338,m,fuck,0,,,,,0,,,,,,,
1689358,00:28:09.358,m,book?,1,book,,,,0,,,,,,,
1692282,00:28:12.282,m,which one?,1,one,,,,0,,,,,,,
1696090,00:28:16.90,m,ok,0,,,,,0,,,,,,,
1702992,00:28:22.992,m,bless you,0,,,,,0,,,,,,,
1704420,00:28:24.420,m,uh,0,,,,,0,,,,,,,
1704726,00:28:24.726,m,that was a good one,1,one,,,,1,that,,,,,,
1707446,00:28:27.446,m,hang on right there,0,,,,,0,,,,,,,
1708534,00:28:28.534,m,oh,0,,,,,0,,,,,,,
1708942,00:28:28.942,m,that didn't help,0,,,,,1,that,,,,,,
1719210,00:28:39.210,m,good job waiting,0,,,,,0,,,,,,,
1721590,00:28:41.590,m,one more,0,,,,,0,,,,,,,
1758140,00:29:18.140,m,you still wanna read the book?,1,book,,,,1,you,,,,,,
1761574,00:29:21.574,m,book,1,book,,,,0,,,,,,,
